User name,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
root,2023-02-19T02:44:53Z,signin.amazonaws.com,ConsoleLogin,us-east-1,216.152.105.24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",,[],,4d2cc3be-b584-412d-849f-5c9bb60eaf36,FALSE,AwsConsoleSignIn,7.27958E+11,Management
himanshusaxena,2023-02-17T13:55:53Z,wellarchitected.amazonaws.com,DeleteWorkload,us-east-1,216.152.105.24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::WellArchitected::Workload"",""resourceName"":""df402339d997fec9d99a4e6c08017616""}]",fc687593-bdd7-4a97-9aab-0d66158167d6,74ec0db3-aa65-488a-81f8-dc60f4b5955c,FALSE,AwsApiCall,7.27958E+11,Management
himanshusaxena,2023-02-17T13:55:10Z,wellarchitected.amazonaws.com,CreateWorkload,us-east-1,216.152.105.24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::WellArchitected::Workload"",""resourceName"":""arn:aws:wellarchitected:us-east-1:727957581503:workload/df402339d997fec9d99a4e6c08017616""},{""resourceType"":""AWS::WellArchitected::Workload"",""resourceName"":""df402339d997fec9d99a4e6c08017616""}]",821d91d4-6407-4ba9-84a5-0813f5b7a43f,9af1ee67-58e3-4ada-898a-f1220dc8362f,FALSE,AwsApiCall,7.27958E+11,Management
himanshusaxena,2023-02-17T13:54:14Z,wellarchitected.amazonaws.com,DeleteWorkload,us-east-1,216.152.105.24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::WellArchitected::Workload"",""resourceName"":""92a57980c838a496e30fed7934d99dd9""}]",4b3d63a7-23b2-4ee5-ae4c-90154a4a7a0a,3ab0915b-5910-48d3-a337-1466133a040d,FALSE,AwsApiCall,7.27958E+11,Management
himanshusaxena,2023-02-17T13:49:44Z,wellarchitected.amazonaws.com,UpdateAnswer,us-east-1,216.152.105.24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::WellArchitected::Workload"",""resourceName"":""92a57980c838a496e30fed7934d99dd9""}]",bca1850b-bd8f-4d04-9451-62a1d45a7565,6332f34a-b942-4382-a520-2af24de943f3,FALSE,AwsApiCall,7.27958E+11,Management
himanshusaxena,2023-02-17T13:44:14Z,wellarchitected.amazonaws.com,CreateWorkload,us-east-1,216.152.105.24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::WellArchitected::Workload"",""resourceName"":""arn:aws:wellarchitected:us-east-1:727957581503:workload/92a57980c838a496e30fed7934d99dd9""},{""resourceType"":""AWS::WellArchitected::Workload"",""resourceName"":""92a57980c838a496e30fed7934d99dd9""}]",20878f7f-e429-4348-ad9c-e9a532f6528b,e5b17e51-7a1d-4c5c-a827-2731e21de647,FALSE,AwsApiCall,7.27958E+11,Management
himanshusaxena,2023-02-17T13:26:54Z,signin.amazonaws.com,ConsoleLogin,us-east-1,216.152.105.24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",,[],,1d4ce33b-770e-484b-9482-ecd353194ce0,FALSE,AwsConsoleSignIn,7.27958E+11,Management
himanshusaxena,2023-02-17T13:26:19Z,signin.amazonaws.com,CheckMfa,us-east-1,216.152.105.24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",,[],,3dd03123-aa96-4adb-9740-9806db811217,FALSE,AwsConsoleSignIn,7.27958E+11,Management
root,2023-02-17T05:58:18Z,sns.amazonaws.com,DeleteTopic,us-east-1,216.152.105.22,AWS Internal,,"[{""resourceType"":""AWS::SNS::Topic"",""resourceName"":""arn:aws:sns:us-east-1:727957581503:billing-alarm""}]",06b6e553-ecc8-5c1e-8ba0-b93af5725663,cf9104ee-53eb-46c7-b5ab-e6ca32de3215,FALSE,AwsApiCall,7.27958E+11,Management
root,2023-02-17T05:38:10Z,monitoring.amazonaws.com,DeleteAlarms,us-east-1,216.152.105.22,AWS Internal,,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""DailyEstimatedCharges""}]",0e5eec8b-58fc-4aae-a610-379fd32dceb2,126a3d14-ae7c-4cb2-b4fe-5840d5f60e5e,FALSE,AwsApiCall,7.27958E+11,Management
